"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","test_normal_traffic","","Tue May 05 11:47:23 UTC 2026","passed","Tue May 05 11:47:23 UTC 2026","","test_time_traffic","",""
"","1","test_very_small_speed","","Tue May 05 11:47:23 UTC 2026","passed","Tue May 05 11:47:23 UTC 2026","","lab1_test","",""
"","2","test_no_traffic","","Tue May 05 11:47:23 UTC 2026","passed","Tue May 05 11:47:23 UTC 2026","","test_time_traffic","",""
"","0","test_zero_distance","","Tue May 05 11:47:23 UTC 2026","passed","Tue May 05 11:47:23 UTC 2026","","lab1_test","",""
"","0","test_zero_speed","","Tue May 05 11:47:23 UTC 2026","passed","Tue May 05 11:47:23 UTC 2026","","lab1_test","",""
"","2","test_max_traffic","","Tue May 05 11:47:23 UTC 2026","passed","Tue May 05 11:47:23 UTC 2026","","test_time_traffic","",""
"","1","test_invalid_terrain_type","","Tue May 05 11:47:23 UTC 2026","passed","Tue May 05 11:47:23 UTC 2026","","lab1_test","",""
"","1","test_lab1_edge_cases","","Tue May 05 11:47:23 UTC 2026","passed","Tue May 05 11:47:23 UTC 2026","","lab1_test","",""
"","0","test_city_speed_at_limit","","Tue May 05 11:47:23 UTC 2026","passed","Tue May 05 11:47:23 UTC 2026","","lab1_test","",""
"","0","test_negative_speed","","Tue May 05 11:47:23 UTC 2026","passed","Tue May 05 11:47:23 UTC 2026","","lab1_test","",""
"","0","test_min_speed","","Tue May 05 11:47:23 UTC 2026","passed","Tue May 05 11:47:23 UTC 2026","","lab1_test","",""
"","0","test_1_city","","Tue May 05 11:47:23 UTC 2026","passed","Tue May 05 11:47:23 UTC 2026","","lab1_test","",""
"","1","test_city_speed_limit","","Tue May 05 11:47:23 UTC 2026","passed","Tue May 05 11:47:23 UTC 2026","","lab1_test","",""
"","1","test_speed_max","","Tue May 05 11:47:23 UTC 2026","passed","Tue May 05 11:47:23 UTC 2026","","lab1_test","",""
"","0","test_max_speed_highway","","Tue May 05 11:47:23 UTC 2026","passed","Tue May 05 11:47:23 UTC 2026","","lab1_test","",""
"","0","test_negative","","Tue May 05 11:47:23 UTC 2026","passed","Tue May 05 11:47:23 UTC 2026","","lab1_test","",""
"","1","test_city_with_traffic","","Tue May 05 11:47:23 UTC 2026","passed","Tue May 05 11:47:23 UTC 2026","","test_time_traffic","",""
"","1","test_1_high","","Tue May 05 11:47:23 UTC 2026","passed","Tue May 05 11:47:23 UTC 2026","","lab1_test","",""
"","1","test_traffic_service_unavailable","","Tue May 05 11:47:23 UTC 2026","passed","Tue May 05 11:47:23 UTC 2026","","test_time_traffic","",""
